parameter_id,category,name,default_value,data_type,description,units,source_table,is_scenario_variable,calculation_dependencies
FP001,Financial,discount_rate_percent,0.05,number,Discount rate for NPV calculations,%,financial_params.csv,False,"npv_annual_cost, npv_externality_cost"
FP002,Financial,financing_term_years,5.0,number,Term length for vehicle financing,years,financial_params.csv,False,"max_range_with_degradation, monthly_finance_payment, total_financing_cost"
FP003,Financial,interest_rate_percent,0.055,number,Interest rate for vehicle financing,%,financial_params.csv,False,monthly_finance_payment
FP004,Financial,down_payment_percent,0.2,number,Initial payment percentage for vehicle financing,%,financial_params.csv,False,monthly_finance_payment
FP005,Financial,initial_depreciation_percent,0.2,number,Initial depreciation rate for new vehicles,%,financial_params.csv,False,residual_value
FP006,Financial,annual_depreciation_percent,0.1,number,Annual depreciation rate for vehicles,%,financial_params.csv,True,residual_value
FP007,Financial,insurance_percent,0.03,number,Insurance cost as percentage of vehicle value,%,financial_params.csv,False,
FP008,Financial,diesel_price,2.03,number,Base price per litre of diesel fuel,AUD,financial_params.csv,True,energy_cost_per_km
FP009,Financial,inflation_rate,0.025,number,Annual inflation rate,ratio,financial_params.csv,True,
FP010,Financial,carbon_price,0.0,number,Carbon price per tonne of CO2 emissions,AUD,financial_params.csv,True,tco_with_carbon_price
BP001,Battery,replacement_per_kwh_price,150.0,number,Cost to replace battery per kWh capacity,AUD,battery_params.csv,True,"battery_replacement_cost, battery_residual"
BP002,Battery,degradation_annual_percent,0.025,number,Annual battery capacity degradation rate,%,battery_params.csv,True,"battery_replacement_year, max_range_with_degradation"
BP003,Battery,minimum_capacity_percent,0.7,number,Minimum acceptable battery capacity before replacement,%,battery_params.csv,False,battery_replacement_year
BP004,Battery,recycling_value_percent,0.1,number,Residual value of battery for recycling,%,battery_params.csv,False,battery_residual
OP001_kms,Operating,annual_kms,23000.0,number,Annual distance travelled for Light Rigid trucks,km/year,operating_params.csv,False,"annual_maintenance_cost, annual_energy_cost, annual_emissions"
